ID,Date,URL,Name,Venue,Leader,Next,,9
73907722,02. Jan. 26,https://cuescore.com/tournament/KAVAL+HC+-+02.01.2026/73907722,KAVAL HC - 02.01.2026,Biljardnica Kaval,Tomaž Varvaris,Tomi Bratina,,
74445151,05. Jan. 26,https://cuescore.com/tournament/OSMICA+HC+-+5.1.2025/74445151,OSMICA HC - 5.1.2025,Plac,Vuk Strugar,Vuk Strugar,,
74383342,09. Jan. 26,https://cuescore.com/tournament/KAVAL+HC+-+09.01.2026/74383342,KAVAL HC - 09.01.2026,Biljardnica Kaval,Tomaž Varvaris,Tomaž Varvaris,,
74710324,12. Jan. 26,https://cuescore.com/tournament/OSMICA+HC+-+12.1.2025/74710324,OSMICA HC - 12.1.2025,Plac,Vuk Strugar,Vuk Strugar,,
74598730,16. Jan. 26,https://cuescore.com/tournament/Kaval+HC++16.01.2026/74598730,Kaval HC  16.01.2026,Biljardnica Kaval,Tomi Bratina,Tomi Bratina,,
75035566,19. Jan. 26,https://cuescore.com/tournament/OSMICA+HC+-+19.1.2025/75035566,OSMICA HC - 19.1.2025,Plac,Blaž Kolenc,Blaž Kolenc,,
74827135,23. Jan. 26,https://cuescore.com/tournament/Kaval+HC++23.01.2026/74827135,Kaval HC  23.01.2026,Biljardnica Kaval,Tomaž Varvaris,Tomaž Varvaris,,
75387574,26. Jan. 26,https://cuescore.com/tournament/OSMICA+HC+-+26.1.2025/75387574,OSMICA HC - 26.1.2025,Plac,Vuk Strugar,Vuk Strugar,,
75407215,30. Jan. 26,https://cuescore.com/tournament/Kaval+HC++30.01.2026/75407215,Kaval HC  30.01.2026,Biljardnica Kaval,Tomaž Varvaris,Tomi Bratina,,
75747166,02. Feb. 26,https://cuescore.com/tournament/OSMICA+HC+-+2.2.2026/75747166,OSMICA HC - 2.2.2026,Plac,Vuk Strugar,Vuk Strugar,,
75445438,06. Feb. 26,https://cuescore.com/tournament/HC++06.02.2026/75445438,HC  06.02.2026,Biljardnica Kaval,Tomi Bratina,Tomi Bratina,,
76087333,09. Feb. 26,https://cuescore.com/tournament/OSMICA+HC+-+9.2.2026/76087333,OSMICA HC - 9.2.2026,Plac,Vuk Strugar,Vuk Strugar,,
